"","time","S","I","R","Date","A","Rm","total_infected"
"128",128,405.156500100203,40.4573333780801,6525.98616652173,2020-07-30,NA,NA,6566.44349989981
"129",129,404.81905253094,38.7315317473255,6528.04941572174,2020-07-31,NA,NA,6566.78094746907
"130",130,404.49626402265,37.0790906097791,6530.02464536758,2020-08-01,NA,NA,6567.10373597736
"131",131,404.18748912711,35.4969132932984,6531.9155975796,2020-08-02,NA,NA,6567.4125108729
"132",132,403.892111535133,33.9820319971542,6533.72585646772,2020-08-03,NA,NA,6567.70788846488
"133",133,403.609542701765,32.5316025868511,6535.45885471139,2020-08-04,NA,NA,6567.99045729824
"134",134,403.339220541134,31.1428995854237,6537.11787987345,2020-08-05,NA,NA,6568.26077945887
"135",135,403.080608187058,29.8133113550336,6538.70608045792,2020-08-06,NA,NA,6568.51939181295
"136",136,402.833192815759,28.5403354627656,6540.22647172148,2020-08-07,NA,NA,6568.76680718425
"137",137,402.596484527235,27.3215742246081,6541.68194124817,2020-08-08,NA,NA,6569.00351547277
"138",138,402.370015282098,26.154730421704,6543.07525429621,2020-08-09,NA,NA,6569.22998471791
"139",139,402.153337890838,25.0376031830593,6544.40905892611,2020-08-10,NA,NA,6569.44666210917
"140",140,401.946025052706,23.9680840290208,6545.68589091828,2020-08-11,NA,NA,6569.6539749473
"141",141,401.747668441518,22.9441530699468,6546.90817848855,2020-08-12,NA,NA,6569.85233155849
"142",142,401.55787783592,21.9638753546311,6548.07824680946,2020-08-13,NA,NA,6570.04212216409
"143",143,401.376280291724,21.0253973631634,6549.19832234512,2020-08-14,NA,NA,6570.22371970829
"144",144,401.202519354128,20.1269436390502,6550.27053700683,2020-08-15,NA,NA,6570.39748064588
"145",145,401.036254307721,19.2668135555519,6551.29693213674,2020-08-16,NA,NA,6570.56374569229
"146",146,400.877159462322,18.4433782113331,6552.27946232636,2020-08-17,NA,NA,6570.72284053769
"147",147,400.724923472785,17.6550774506593,6553.21999907657,2020-08-18,NA,NA,6570.87507652723
"148",148,400.579248691061,16.9004170035145,6554.12033430544,2020-08-19,NA,NA,6571.02075130895
"149",149,400.439850548828,16.1779657411487,6554.98218371003,2020-08-20,NA,NA,6571.16014945118
"150",150,400.306456969185,15.4863530427073,6555.80718998812,2020-08-21,NA,NA,6571.29354303083
"151",151,400.178807805904,14.8242662687249,6556.59692592538,2020-08-22,NA,NA,6571.42119219411
"152",152,400.056654308889,14.1904483374056,6557.35289735371,2020-08-23,NA,NA,6571.54334569112
"153",153,399.93975861452,13.5836953997416,6558.07654598575,2020-08-24,NA,NA,6571.66024138549
"154",154,399.827893259644,13.002854609653,6558.76925213071,2020-08-25,NA,NA,6571.77210674037
"155",155,399.720840718063,12.4468219854627,6559.43233729648,2020-08-26,NA,NA,6571.87915928195
"156",156,399.618392958392,11.9145403591415,6560.06706668248,2020-08-27,NA,NA,6571.98160704162
"157",157,399.520351022262,11.4049974098863,6560.67465156786,2020-08-28,NA,NA,6572.07964897775
"158",158,399.426524621864,10.9172237787118,6561.25625159944,2020-08-29,NA,NA,6572.17347537815
"159",159,399.336731755906,10.4502912608533,6561.81297698325,2020-08-30,NA,NA,6572.2632682441
"160",160,399.250798343092,10.0033110728967,6562.34589058402,2020-08-31,NA,NA,6572.34920165692
"161",161,399.168557872281,9.57543219165618,6562.85600993607,2020-09-01,NA,NA,6572.43144212773
"162",162,399.089851068529,9.16583976193771,6563.34430916954,2020-09-02,NA,NA,6572.51014893148
"163",163,399.014525574259,8.77375357042264,6563.81172085533,2020-09-03,NA,NA,6572.58547442575
"164",164,398.94243564484,8.39842658301548,6564.25913777215,2020-09-04,NA,NA,6572.65756435517
